2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
  Technical writers,27-3042,50.1,52.1,2.0,4.0,"91,670",Bachelor's degree,3.8,3.8,2.8,3.4,2.6,3.5,2.2,2.8,2.5,2.1,1.5,1.1,3.2,2.3,1.5,3.4,4.3
  Millwrights,49-9044,42.3,44.3,2.0,4.8,"65,170",High school diploma or equivalent,3.9,2.7,2.7,3.1,2.8,4.2,3.8,3.2,3.8,3.1,3.7,3.4,3.6,2.9,2.2,2.9,3.0
"  Coating, painting, and spraying machine setters, operators, and tenders",51-9124,167.9,169.9,2.0,1.2,"47,590",High school diploma or equivalent,3.5,2.1,2.1,2.7,2.1,3.4,3.6,2.8,2.8,1.9,2.9,3.0,3.2,2.5,1.4,2.5,2.6
"  Personal service managers, all other[2]",11-9179,27.9,29.8,1.9,6.9,"61,340",High school diploma or equivalent,3.9,3.5,2.5,2.8,3.9,3.7,1.9,4.1,3.4,2.6,1.7,1.9,3.6,2.9,2.0,3.6,3.6
"  Religious workers, all other[2]",21-2099,83.8,85.7,1.9,2.2,"45,120",Bachelor's degree,4.1,3.1,3.5,3.3,3.3,3.2,1.4,4.3,3.7,2.2,1.4,1.4,3.8,3.2,1.3,4.1,3.7
"  Mathematical science teachers, postsecondary",25-1022,58.5,60.4,1.9,3.3,"79,350",Doctoral or professional degree,3.8,3.5,3.0,3.6,2.7,3.2,1.6,3.3,3.1,4.4,1.2,1.2,3.5,2.3,2.0,3.8,3.9
"  Teachers and instructors, all other[2]",25-3099,143.5,145.5,1.9,1.4,"64,690",Bachelor's degree,4.0,3.1,3.1,3.0,3.1,3.1,1.8,3.9,3.3,2.7,1.2,1.4,3.4,2.3,2.1,3.5,3.7
  Private detectives and investigators,33-9021,38.8,40.7,1.9,5.0,"52,370",High school diploma or equivalent,4.0,3.8,2.9,3.6,3.3,3.9,2.3,3.1,2.8,2.4,1.7,1.7,3.8,2.8,1.3,3.5,3.7
  Materials engineers,17-2131,25.0,26.9,1.8,7.4,"108,310",Bachelor's degree,3.8,3.7,3.3,3.9,2.7,3.6,2.4,3.0,3.6,3.7,2.1,1.4,3.6,3.1,3.6,3.4,3.9
  Food science technicians,19-4013,25.1,26.9,1.8,7.3,"49,430",Associate's degree,3.6,3.5,2.3,3.1,2.2,3.8,2.9,2.9,3.5,2.9,2.0,2.0,3.5,2.5,2.9,3.1,3.5
  Interpreters and translators,27-3091,78.3,80.1,1.8,2.3,"59,440",Bachelor's degree,3.9,3.1,2.8,2.9,3.1,4.0,1.5,3.6,3.1,2.1,1.2,1.8,3.5,2.2,1.5,3.7,4.1
  Motorboat mechanics and service technicians,49-3051,26.1,27.8,1.8,6.7,"54,950",High school diploma or equivalent,3.5,2.8,2.5,3.1,3.2,3.8,3.5,2.9,2.6,2.5,3.6,2.9,3.6,2.5,2.3,2.7,2.7
  Recreational vehicle service technicians,49-3092,18.4,20.2,1.8,9.9,"50,540",High school diploma or equivalent,3.6,2.4,2.6,3.0,3.3,3.6,3.4,3.1,2.8,2.0,3.3,3.0,3.5,2.5,1.7,3.0,3.0
"  Agents and business managers of artists, performers, and athletes",13-1011,18.6,20.4,1.7,9.2,"96,310",Bachelor's degree,3.7,3.1,3.6,3.1,3.3,3.6,1.5,3.5,2.8,2.4,1.1,1.2,3.6,2.6,1.2,3.7,3.6
  Curators,25-4012,14.2,16.0,1.7,12.2,"61,770",Master's degree,3.8,3.6,3.9,3.6,3.1,3.5,1.9,3.2,3.4,2.7,1.5,1.9,3.8,3.4,1.6,3.7,3.9
  First-line supervisors of gambling services workers,39-1013,33.2,34.9,1.7,5.2,"61,590",High school diploma or equivalent,3.8,3.4,2.2,3.0,4.1,3.9,2.6,3.6,3.5,3.0,1.8,2.5,3.5,2.3,1.2,3.4,3.4
"  Paving, surfacing, and tamping equipment operators",47-2071,44.5,46.3,1.7,3.9,"51,650",High school diploma or equivalent,3.4,2.0,2.5,2.6,2.7,3.6,3.3,2.9,3.1,2.2,3.1,3.0,3.1,2.3,2.0,2.7,2.2
  Avionics technicians,49-2091,21.9,23.5,1.7,7.6,"81,390",Postsecondary nondegree award,3.9,3.7,2.8,3.4,2.7,4.0,3.3,3.1,3.1,2.6,3.5,2.4,3.6,2.5,2.4,3.0,3.5
  Funeral home managers,11-9171,35.8,37.4,1.6,4.5,"76,830",Associate's degree,3.9,3.5,2.5,2.8,3.9,3.7,1.9,4.1,3.4,2.6,1.7,1.9,3.6,2.9,2.0,3.6,3.6
  Microbiologists,19-1022,23.2,24.8,1.6,6.7,"87,330",Bachelor's degree,4.0,3.8,2.8,3.9,2.3,4.3,2.9,2.9,3.3,3.1,1.9,1.7,3.7,3.0,3.6,3.4,4.2
  Rehabilitation counselors,21-1015,87.6,89.2,1.6,1.8,"46,110",Master's degree,3.9,3.7,2.9,3.5,3.6,3.3,1.6,4.1,3.5,2.2,1.3,1.6,3.8,2.7,1.5,3.6,3.8
  Museum technicians and conservators,25-4013,14.4,16.0,1.6,10.7,"47,460",Bachelor's degree,3.5,3.0,3.6,3.0,2.5,3.8,3.0,2.9,2.8,2.3,2.0,2.4,3.5,2.5,2.4,3.3,3.3
  Audiologists,29-1181,14.4,16.0,1.6,10.9,"92,120",Doctoral or professional degree,4.2,4.0,2.8,3.7,4.1,3.7,2.9,4.3,3.4,2.8,2.3,1.6,4.0,3.0,2.8,3.7,4.1
  Hearing aid specialists,29-2092,10.5,12.0,1.6,14.9,"61,560",High school diploma or equivalent,4.1,3.8,2.7,3.1,4.1,3.6,2.7,4.0,2.7,2.4,2.3,1.6,3.8,2.6,2.1,3.5,3.4
"  Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,57.2,58.7,1.6,2.7,"45,130",High school diploma or equivalent,3.5,2.7,2.5,2.8,2.3,3.7,3.3,3.0,3.0,2.4,3.0,3.0,3.2,2.2,2.1,2.8,2.9
  Aircraft service attendants[2],53-6032,25.2,26.7,1.6,6.2,"41,540",High school diploma or equivalent,3.8,3.1,2.7,3.4,2.7,4.2,3.5,3.2,3.2,2.6,3.9,2.7,3.9,2.6,2.4,2.9,3.5
  Crane and tower operators,53-7021,42.6,44.2,1.6,3.7,"66,370",High school diploma or equivalent,3.6,2.3,2.4,2.7,2.4,4.0,3.5,2.8,3.1,2.6,3.1,2.7,3.4,2.3,1.5,2.8,2.9
  Credit counselors,13-2071,31.8,33.3,1.5,4.9,"50,480",Bachelor's degree,4.2,3.6,2.7,3.4,3.5,3.6,2.1,3.7,2.7,3.3,1.1,1.2,3.8,2.3,1.0,3.5,3.7
  Bioengineers and biomedical engineers,17-2031,19.7,21.2,1.5,7.4,"106,950",Bachelor's degree,3.8,4.1,3.4,4.1,2.5,3.7,2.3,3.1,3.4,3.8,2.5,1.3,3.9,3.1,4.0,3.5,4.0
  Soil and plant scientists,19-1013,20.3,21.7,1.5,7.2,"71,410",Bachelor's degree,3.9,3.9,3.3,3.9,2.9,3.5,2.3,3.0,3.4,3.3,1.9,2.1,3.7,3.0,3.9,3.6,4.0
  Physicists,19-2012,21.1,22.6,1.5,7.2,"166,290",Doctoral or professional degree,3.7,4.3,3.5,4.0,2.2,3.4,1.6,2.8,3.0,4.5,1.6,1.2,3.6,2.8,3.6,3.7,4.1
  Set and exhibit designers,27-1027,29.6,31.1,1.5,5.1,"66,280",Bachelor's degree,4.0,3.4,4.6,3.5,2.5,3.5,2.7,3.2,3.1,2.9,1.7,1.8,3.5,3.2,1.8,3.6,3.6
  Anesthesiologists,29-1211,36.1,37.6,1.5,4.0,">=239,200",Doctoral or professional degree,4.3,3.2,2.7,3.9,3.1,4.5,3.1,3.9,3.4,3.0,2.0,2.3,4.3,2.9,3.8,3.6,4.0
  Legislators[2],11-1031,33.7,35.0,1.4,4.1,"44,810",Bachelor's degree,4.2,3.7,3.5,4.1,3.9,3.7,1.7,4.0,4.5,3.3,1.5,1.3,4.6,4.1,1.8,4.0,4.2
"  Education administrators, all other[2]",11-9039,57.7,59.1,1.4,2.5,"89,040",Bachelor's degree,4.2,3.4,3.4,3.7,3.7,3.6,1.6,4.1,4.2,3.0,1.3,1.7,4.2,3.6,1.5,3.9,4.1
  Conservation scientists,19-1031,25.9,27.4,1.4,5.6,"67,950",Bachelor's degree,3.6,3.8,2.8,3.5,3.0,3.3,2.4,3.2,3.3,3.3,1.9,2.4,3.5,3.1,3.5,3.5,3.8
"  Geoscientists, except hydrologists and geographers",19-2042,26.0,27.4,1.4,5.5,"99,240",Bachelor's degree,3.8,3.8,3.1,3.9,2.6,3.4,2.0,2.9,3.3,3.6,1.8,1.9,3.7,2.7,3.6,3.6,4.0
  Music directors and composers,27-2041,50.3,51.6,1.4,2.7,"63,670",Bachelor's degree,3.8,3.3,4.3,3.2,3.1,3.5,2.4,3.4,3.5,2.1,1.3,2.0,3.6,3.0,1.2,3.6,3.4
  Orthotists and prosthetists,29-2091,9.1,10.4,1.4,15.1,"78,310",Master's degree,4.3,3.6,3.3,3.6,3.5,3.7,3.2,4.1,3.3,2.8,2.3,2.3,3.9,2.8,2.9,3.5,4.0
  Surgical assistants,29-9093,21.3,22.7,1.4,6.7,"60,290",Postsecondary nondegree award,4.2,3.2,2.8,3.2,3.5,4.3,3.8,4.1,3.3,2.6,2.1,2.9,3.4,2.7,2.6,3.4,3.5
"  Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,435.6,437.0,1.4,0.3,"30,380",No formal educational credential,3.5,2.1,2.0,2.3,3.9,3.0,2.0,3.4,2.7,2.3,1.2,2.3,2.9,2.0,1.5,3.4,2.5
"  Pesticide handlers, sprayers, and applicators, vegetation",37-3012,26.7,28.0,1.4,5.1,"45,200",High school diploma or equivalent,3.5,2.5,2.4,2.7,3.4,3.8,3.1,3.1,3.0,2.6,2.7,2.7,3.6,2.7,2.7,2.9,2.8
  Elevator and escalator installers and repairers,47-4021,24.4,25.8,1.4,5.7,"106,580",High school diploma or equivalent,3.8,3.3,2.6,3.3,3.3,4.1,3.5,2.9,3.0,2.5,3.9,3.1,3.9,2.6,2.1,2.8,3.0
  Stationary engineers and boiler operators,51-8021,35.5,36.9,1.4,4.1,"75,190",High school diploma or equivalent,3.7,3.3,2.6,3.0,2.7,4.0,3.0,3.0,3.4,2.4,3.4,2.6,3.6,2.7,2.7,3.0,3.0
  Architectural and civil drafters,17-3011,112.3,113.6,1.3,1.1,"64,280",Associate's degree,3.8,3.8,3.1,3.4,2.5,3.8,2.4,2.8,2.8,3.2,1.4,1.3,3.3,2.5,1.9,3.2,3.3
  Food scientists and technologists,19-1012,14.5,15.7,1.3,8.9,"85,310",Bachelor's degree,3.8,3.5,3.2,3.8,2.4,3.6,2.2,3.0,3.3,3.3,1.8,1.8,3.7,2.9,3.7,3.5,3.9
"  Social scientists and related workers, all other[2]",19-3099,39.2,40.6,1.3,3.4,"100,340",Bachelor's degree,4.1,3.4,3.0,3.7,3.1,3.4,1.5,3.9,3.1,2.9,1.1,1.2,3.8,2.4,1.7,3.8,4.1
  Tutors,25-3041,195.1,196.4,1.3,0.7,"40,090","Some college, no degree",4.1,3.3,3.1,3.1,3.2,3.1,1.6,4.1,3.2,3.0,1.2,1.2,3.3,2.3,2.4,3.6,4.0
  Emergency medicine physicians[2],29-1214,37.6,39.0,1.3,3.5,">=239,200",Doctoral or professional degree,4.5,3.6,2.4,3.9,3.7,4.5,2.6,4.4,2.9,2.9,1.1,1.3,4.3,2.1,3.3,3.8,4.2
  Physical therapist aides,31-2022,44.3,45.6,1.3,2.9,"34,520",High school diploma or equivalent,3.9,3.3,2.5,2.7,3.4,3.5,2.6,3.9,3.0,2.1,1.6,2.9,3.2,2.3,2.0,2.9,3.1
  Shampooers,39-5093,13.3,14.5,1.3,9.5,"31,470",No formal educational credential,3.6,1.6,2.3,2.3,3.3,3.3,2.9,3.4,2.8,1.7,1.4,2.4,3.0,2.2,1.7,2.9,2.5
  Miscellaneous construction and related workers[2],47-4090,31.6,32.9,1.3,4.0,"48,120",High school diploma or equivalent,3.5,2.6,2.5,3.0,3.3,3.7,2.9,3.2,3.2,2.6,2.6,2.9,3.4,2.5,2.0,3.0,3.0
"  Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,64.1,65.3,1.3,2.0,"46,980",High school diploma or equivalent,3.4,2.5,2.3,2.7,2.1,3.9,3.3,2.9,3.0,2.7,2.8,3.2,3.6,2.4,1.4,2.6,2.6
  Passenger attendants,53-6061,21.6,22.9,1.3,5.8,"37,560",High school diploma or equivalent,3.7,1.6,2.1,2.6,2.9,3.3,2.2,3.9,2.5,2.1,1.6,2.4,2.8,1.8,1.3,3.2,2.6
  Landscape architects,17-1012,24.7,25.8,1.2,4.7,"79,660",Bachelor's degree,3.9,3.6,4.0,3.8,3.3,3.6,2.1,3.4,3.5,3.1,1.6,1.3,3.7,3.4,2.6,3.6,3.8
"  Health and safety engineers, except mining safety engineers and inspectors",17-2111,23.1,24.3,1.2,5.1,"109,660",Bachelor's degree,4.0,3.6,2.9,3.8,3.1,3.8,2.0,3.4,3.5,3.2,2.0,1.8,3.9,2.8,3.2,3.6,4.0
  Civil engineering technologists and technicians,17-3022,66.0,67.1,1.2,1.8,"64,200",Associate's degree,3.8,3.7,2.8,3.5,3.0,3.5,2.2,3.1,2.8,3.8,1.7,1.5,3.5,2.7,2.6,3.2,3.6
  Agricultural technicians,19-4012,19.6,20.8,1.2,5.9,"46,790",Associate's degree,3.8,3.4,2.9,3.1,2.6,4.0,2.9,3.4,3.2,3.4,2.4,2.3,3.4,2.9,3.4,3.0,3.5
"  Communications teachers, postsecondary",25-1122,35.0,36.2,1.2,3.3,"77,800",Doctoral or professional degree,4.3,3.9,3.8,3.5,3.0,3.4,1.5,3.7,3.4,2.2,1.2,1.2,3.8,2.6,1.3,4.1,4.0
  Radiologists,29-1224,34.3,35.6,1.2,3.6,">=239,200",Doctoral or professional degree,4.1,3.7,2.6,3.8,3.3,4.1,3.1,4.2,3.4,2.9,2.0,1.9,4.2,2.8,3.5,3.7,4.3
"  Surgeons, all other[2]",29-1249,28.4,29.6,1.2,4.3,">=239,200",Doctoral or professional degree,4.3,3.5,2.9,3.8,3.7,4.5,3.6,4.2,3.6,3.1,2.2,2.0,4.4,2.9,3.1,3.5,4.2
  Acupuncturists,29-1291,22.1,23.3,1.2,5.5,"78,140",Master's degree,3.9,3.1,2.9,3.3,3.4,3.7,2.8,4.0,2.9,2.1,1.8,2.4,3.8,2.6,2.2,3.3,3.3
"  Locker room, coatroom, and dressing room attendants",39-3093,15.5,16.7,1.2,8.0,"34,800",High school diploma or equivalent,3.3,1.4,2.1,2.1,3.3,2.8,2.2,3.5,2.4,1.5,1.4,2.3,2.6,1.7,1.3,3.0,2.4
  Executive secretaries and executive administrative assistants,43-6011,516.1,517.2,1.2,0.2,"74,260",High school diploma or equivalent,3.9,3.7,2.9,2.9,3.0,3.5,2.4,3.8,2.7,2.7,1.3,1.4,3.3,3.1,1.2,3.5,3.7
"  Insulation workers, mechanical",47-2132,23.4,24.6,1.2,5.1,"57,250",High school diploma or equivalent,3.7,2.1,2.7,2.7,2.8,3.4,3.0,3.1,3.3,2.5,2.3,3.3,3.3,2.7,1.8,2.7,2.5
  Fence erectors,47-4031,24.3,25.5,1.2,4.8,"46,940",No formal educational credential,3.2,1.9,2.4,2.7,3.0,3.8,3.2,3.0,3.3,2.5,2.6,3.4,3.0,2.6,1.7,2.7,2.3
  Outdoor power equipment and other small engine mechanics,49-3053,40.0,41.2,1.2,2.9,"46,560",High school diploma or equivalent,3.6,2.8,2.7,2.9,2.9,3.5,3.7,2.9,2.6,2.2,3.5,2.7,3.5,2.4,2.2,2.6,2.8
  Riggers,49-9096,24.2,25.4,1.2,4.9,"62,060",High school diploma or equivalent,3.5,2.5,2.6,2.8,2.9,4.0,3.3,3.1,3.0,2.0,3.0,3.2,3.4,2.2,1.8,2.9,2.8
  Transportation inspectors,53-6051,29.7,30.8,1.2,3.9,"85,750",High school diploma or equivalent,3.7,3.2,2.5,3.2,2.9,3.8,2.2,2.9,2.8,2.9,1.8,2.4,3.6,2.7,2.1,3.3,3.7
"  Material moving workers, all other[2]",53-7199,26.5,27.6,1.2,4.4,"41,690",No formal educational credential,3.2,2.4,2.1,2.5,2.8,3.4,2.9,2.9,2.7,2.2,2.2,3.0,3.0,2.2,1.4,2.6,2.6
"  Fine artists, including painters, sculptors, and illustrators",27-1013,26.3,27.4,1.1,4.0,"60,560",Bachelor's degree,3.8,3.0,4.2,2.9,2.4,3.5,3.3,2.9,1.8,2.4,1.7,2.2,3.3,2.4,1.5,2.9,2.8
  Commercial and industrial designers,27-1021,34.0,35.1,1.1,3.1,"79,450",Bachelor's degree,3.5,3.8,3.4,3.5,2.8,3.8,2.3,3.0,2.7,3.0,1.9,1.4,3.8,2.7,2.5,3.4,3.4
"  Disc jockeys, except radio[2]",27-2091,21.0,22.1,1.1,5.1,—,High school diploma or equivalent,4.1,3.8,3.7,3.1,3.7,3.8,2.4,3.4,3.0,2.1,2.0,1.6,3.8,2.6,1.3,4.3,3.9
  Dietetic technicians,29-2051,25.0,26.1,1.1,4.3,"37,040",Associate's degree,4.2,3.1,3.1,3.3,3.7,3.8,2.5,4.0,3.6,3.2,1.9,2.4,3.5,3.0,2.1,3.2,3.1
  Funeral attendants,39-4021,32.9,33.9,1.1,3.2,"34,610",High school diploma or equivalent,3.5,2.5,2.3,2.6,3.5,3.4,1.9,3.9,3.1,2.0,2.1,2.4,3.3,2.7,1.5,3.1,2.8
"  Financial clerks, all other[2]",43-3099,46.2,47.3,1.1,2.3,"52,150",High school diploma or equivalent,3.7,3.5,2.2,2.8,3.1,3.7,2.3,3.2,2.6,3.5,1.3,1.4,3.3,2.5,1.1,3.0,3.3
  Sailors and marine oilers,53-5011,32.1,33.2,1.1,3.5,"49,610",No formal educational credential,3.4,2.3,2.4,2.7,2.6,3.9,3.5,3.3,3.3,2.5,3.2,3.3,3.2,2.5,2.0,3.0,2.8
"  Tax examiners and collectors, and revenue agents",13-2081,54.0,55.0,1.0,1.9,"59,740",Bachelor's degree,3.9,3.6,2.4,3.4,3.7,3.8,2.1,3.3,2.9,3.3,1.2,1.2,3.6,2.5,1.2,3.4,3.7
  Electrical and electronics drafters,17-3012,23.2,24.2,1.0,4.1,"73,720",Associate's degree,3.6,3.9,2.8,3.2,2.4,3.7,2.4,2.9,2.6,3.1,1.8,1.4,3.5,2.6,2.0,3.1,3.5
"  Special education teachers, all other[2]",25-2059,45.1,46.0,1.0,2.1,"67,430",Bachelor's degree,4.3,3.7,3.3,3.4,3.4,3.5,1.6,4.2,3.7,3.0,1.3,1.9,3.7,2.8,2.1,3.8,4.0
  Fashion designers,27-1022,21.9,22.9,1.0,4.7,"80,690",Bachelor's degree,4.1,3.1,4.0,3.6,3.3,3.7,2.7,3.5,3.7,2.4,1.4,1.5,3.8,3.7,1.1,3.5,3.7
  Dancers,27-2031,15.2,16.2,1.0,6.7,—,No formal educational credential,3.6,1.7,3.7,2.4,3.1,3.5,1.7,3.2,2.5,1.7,1.1,4.1,2.8,1.7,1.3,2.9,2.6
"  Healthcare diagnosing or treating practitioners, all other[2]",29-1299,40.4,41.5,1.0,2.6,"113,730",Master's degree,4.3,3.5,2.8,3.6,3.7,4.1,2.7,4.3,3.6,3.0,1.7,2.5,4.0,2.7,2.8,3.5,3.9
"  Cooks, all other[2]",35-2019,20.0,21.1,1.0,5.2,"36,210",No formal educational credential,3.6,2.0,2.6,2.6,3.1,3.6,2.9,3.1,3.1,2.5,1.8,2.6,3.0,2.6,1.5,2.8,2.6
"  Insulation workers, floor, ceiling, and wall",47-2131,39.1,40.2,1.0,2.7,"48,680",No formal educational credential,3.2,1.6,2.5,2.6,2.8,3.3,3.0,2.9,2.9,2.3,2.6,3.3,3.1,2.3,1.4,2.5,2.5
"  Service unit operators, oil and gas",47-5013,48.7,49.7,1.0,2.1,"57,980",No formal educational credential,3.7,2.5,2.5,2.9,2.8,4.0,3.5,3.5,3.9,3.1,3.4,3.2,3.8,2.8,2.2,2.9,3.1
  Fiberglass laminators and fabricators,51-2051,20.9,21.8,1.0,4.6,"45,760",High school diploma or equivalent,3.5,2.0,2.5,2.6,2.4,3.6,3.3,2.9,3.1,2.5,2.4,3.2,2.9,2.4,2.2,2.7,2.9
  Slaughterers and meat packers,51-3023,72.8,73.8,1.0,1.4,"39,790",No formal educational credential,3.3,1.6,2.1,2.3,2.4,3.5,3.4,2.7,2.6,2.1,1.9,2.7,2.5,2.1,1.6,2.5,2.0
  Airfield operations specialists,53-2022,18.7,19.7,1.0,5.3,"56,750",High school diploma or equivalent,3.8,3.5,2.5,3.4,3.6,4.3,2.6,3.2,3.5,2.5,2.2,2.2,4.0,2.7,2.0,3.6,3.6
  Aerospace engineering and operations technologists and technicians,17-3021,11.0,11.9,0.9,7.9,"79,830",Associate's degree,3.8,3.8,2.7,3.7,2.7,4.2,3.1,2.9,2.8,3.2,3.0,2.1,3.8,2.9,2.5,3.1,3.5
  Economists,19-3011,17.5,18.4,0.9,5.1,"115,440",Master's degree,3.6,3.7,3.1,4.0,2.2,3.4,1.4,2.5,2.8,4.0,1.1,1.1,3.8,2.4,1.5,3.6,4.0
"  Judges, magistrate judges, and magistrates",23-1023,25.9,26.8,0.9,3.4,"156,210",Doctoral or professional degree,4.4,3.3,2.6,3.9,3.9,4.1,1.4,3.4,3.1,2.1,1.2,1.1,4.4,2.5,1.4,4.1,4.1
"  Chemistry teachers, postsecondary",25-1052,25.4,26.2,0.9,3.4,"86,220",Doctoral or professional degree,4.0,3.6,3.1,3.8,2.6,3.8,1.5,3.2,3.6,3.4,1.6,1.3,3.7,2.7,3.9,3.9,4.1
"  Designers, all other[2]",27-1029,30.4,31.3,0.9,3.0,"66,220",Bachelor's degree,3.8,3.4,4.0,3.2,3.2,3.5,2.4,3.3,3.1,2.3,1.5,1.9,3.4,2.9,1.4,3.4,3.3
  Dermatologists,29-1213,13.0,13.9,0.9,7.1,">=239,200",Doctoral or professional degree,4.2,3.7,2.6,3.5,3.6,4.2,2.6,4.3,3.6,2.7,1.2,2.1,4.0,2.8,2.9,3.6,3.9
"  Morticians, undertakers, and funeral arrangers",39-4031,25.3,26.1,0.9,3.5,"49,800",Associate's degree,4.1,3.6,2.9,3.1,4.1,4.0,2.6,4.4,3.7,2.8,1.9,2.3,3.8,3.5,2.3,3.6,3.3
  Reinforcing iron and rebar workers,47-2171,21.9,22.9,0.9,4.2,"59,280",High school diploma or equivalent,3.3,1.8,2.4,2.7,2.5,3.5,3.4,2.7,3.3,2.5,2.2,3.6,3.0,2.5,1.6,2.5,2.3
"  Electric motor, power tool, and related repairers",49-2092,17.7,18.6,0.9,5.0,"53,990",High school diploma or equivalent,3.7,2.7,2.7,3.1,2.7,3.9,3.6,3.0,3.3,2.7,3.8,2.8,3.7,2.8,1.9,2.6,3.1
  Rail car repairers,49-3043,20.2,21.1,0.9,4.4,"65,680",High school diploma or equivalent,3.3,2.2,2.7,2.8,2.4,3.6,3.7,2.9,2.9,2.4,3.5,3.3,3.2,2.5,1.7,2.6,2.7
"  Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,53.4,54.3,0.9,1.7,"49,500",High school diploma or equivalent,3.4,2.5,2.2,2.9,2.3,3.7,3.1,2.7,2.7,2.7,2.9,2.9,3.3,2.3,2.4,2.7,2.8
"  Captains, mates, and pilots of water vessels",53-5021,40.2,41.2,0.9,2.3,"85,540",Postsecondary nondegree award,3.9,2.9,2.6,3.1,3.0,3.9,3.4,3.3,3.6,2.6,3.2,2.9,3.9,2.9,2.1,3.3,3.3
  Cartographers and photogrammetrists,17-1021,12.9,13.7,0.8,6.3,"78,380",Bachelor's degree,3.5,4.0,2.9,3.3,2.8,3.8,2.8,2.9,2.9,3.0,1.7,1.4,3.5,2.6,1.5,3.1,3.7
  Marine engineers and naval architects,17-2121,10.1,11.0,0.8,8.0,"105,670",Bachelor's degree,3.7,3.5,3.0,3.9,2.5,3.9,2.3,2.9,3.1,3.8,2.2,1.9,3.8,2.8,2.9,3.4,3.8
  Mechanical engineering technologists and technicians,17-3027,39.9,40.7,0.8,1.9,"68,730",Associate's degree,3.6,3.6,2.8,3.6,2.6,4.0,2.9,3.0,3.1,3.4,2.9,2.4,3.7,2.7,2.5,3.3,3.7
  Calibration technologists and technicians[2],17-3028,13.8,14.5,0.8,5.5,"65,040",Associate's degree,3.8,3.8,2.7,3.7,2.7,4.2,3.1,2.9,2.8,3.2,3.0,2.1,3.8,2.9,2.5,3.1,3.5
  Zoologists and wildlife biologists,19-1023,18.8,19.6,0.8,4.4,"72,860",Bachelor's degree,3.9,3.6,3.0,3.6,3.2,3.6,2.3,3.2,3.4,3.1,1.9,2.1,3.9,3.2,3.2,3.6,3.9
  Materials scientists,19-2032,9.2,10.0,0.8,8.7,"104,160",Bachelor's degree,3.8,3.9,3.3,4.0,2.2,3.7,2.2,2.8,3.2,3.6,2.0,1.3,3.7,2.8,3.7,3.5,4.1
"  Physical scientists, all other[2]",19-2099,34.1,34.9,0.8,2.3,"117,960",Bachelor's degree,3.9,3.8,2.8,3.8,2.7,3.6,2.0,3.0,3.2,3.6,1.9,1.7,3.6,2.8,3.6,3.5,4.0
"  English language and literature teachers, postsecondary",25-1123,70.1,70.9,0.8,1.1,"78,270",Doctoral or professional degree,4.1,3.6,3.6,3.5,2.8,3.1,1.4,3.8,3.5,2.0,1.2,1.2,3.6,2.6,1.6,4.1,4.5
  Cardiologists[2],29-1212,16.4,17.2,0.8,5.0,">=239,200",Doctoral or professional degree,4.3,3.8,2.7,3.9,3.4,4.2,2.6,4.2,3.2,3.1,1.5,1.9,4.1,2.8,3.6,3.6,4.1
"  Pediatricians, general",29-1221,37.7,38.5,0.8,2.1,"210,130",Doctoral or professional degree,4.3,3.4,2.3,3.7,3.6,4.0,2.4,4.5,3.5,2.8,1.4,1.6,4.3,2.3,3.2,3.9,4.2
"  First-line supervisors of protective service workers, all other[2]",33-1099,20.7,21.6,0.8,4.0,"74,960",High school diploma or equivalent,4.2,3.6,2.8,3.5,3.9,3.9,2.5,3.9,4.2,2.6,2.0,2.5,4.0,3.3,1.8,3.7,3.8
  Plasterers and stucco masons,47-2161,24.1,24.9,0.8,3.3,"56,020",No formal educational credential,3.3,1.8,2.7,2.6,2.5,3.5,3.3,3.1,3.2,2.3,2.4,3.3,3.2,2.6,1.5,2.6,2.6
"  Earth drillers, except oil and gas",47-5023,18.9,19.7,0.8,4.0,"59,600",High school diploma or equivalent,3.5,1.8,2.6,2.9,2.6,3.7,3.5,3.0,3.0,2.4,3.4,2.7,3.4,2.6,1.9,2.7,2.9
"  Radio, cellular, and tower equipment installers and repairers",49-2021,12.0,12.9,0.8,6.8,"64,190",Associate's degree,3.9,3.7,2.8,3.0,3.0,3.8,3.3,3.2,3.3,2.7,3.4,2.8,3.5,2.8,1.8,3.0,3.2
  Bicycle repairers,49-3091,14.5,15.3,0.8,5.6,"40,360",High school diploma or equivalent,4.1,2.9,2.7,3.0,4.1,4.0,3.6,3.7,3.0,2.4,3.3,2.6,3.8,2.7,1.7,3.1,2.9
"  Control and valve installers and repairers, except mechanical door",49-9012,48.8,49.6,0.8,1.6,"74,690",High school diploma or equivalent,3.5,3.3,2.6,3.0,3.0,3.8,3.2,3.1,3.0,2.4,3.3,2.7,3.5,2.6,2.2,2.9,3.0
